time: 2.7411 , HR: 0.00 
time: 2.8169 , HR: 0.00 
time: 2.8727 , HR: 0.00 
time: 2.9157 , HR: 0.00 
time: 2.9530 , HR: 0.00 
time: 3.0382 , HR: 0.00 
time: 3.1591 , HR: 0.00 
time: 4.5991 , HR: 0.00 
time: 4.7170 , HR: 0.00 
time: 4.8399 , HR: 0.00 
time: 4.9712 , HR: 0.00 
time: 5.3190 , HR: 0.00 
time: 5.4401 , HR: 0.00 
time: 5.5590 , HR: 0.00 
time: 5.6795 , HR: 0.00 
time: 5.7997 , HR: 0.00 
time: 5.9190 , HR: 0.00 
time: 6.0523 , HR: 0.00 
time: 6.1669 , HR: 0.00 
time: 6.2874 , HR: 0.00 
time: 6.4085 , HR: 0.00 
time: 6.5269 , HR: 0.00 
time: 6.6610 , HR: 0.00 
time: 6.7625 , HR: 0.00 
time: 6.8784 , HR: 0.00 
time: 7.0004 , HR: 0.00 
time: 7.1180 , HR: 0.00 
time: 7.2391 , HR: 0.00 
time: 7.3581 , HR: 0.00 
time: 7.4788 , HR: 0.00 
time: 7.5982 , HR: 0.00 
time: 7.7177 , HR: 0.00 
time: 7.8393 , HR: 0.00 
time: 7.9724 , HR: 0.00 
time: 8.0933 , HR: 0.00 
time: 8.2014 , HR: 0.00 
time: 8.3181 , HR: 0.00 
time: 8.4382 , HR: 0.00 
time: 8.5795 , HR: 0.00 
time: 8.6790 , HR: 0.00 
time: 8.7980 , HR: 0.00 
time: 8.9203 , HR: 0.00 
time: 9.0385 , HR: 0.00 
time: 9.1587 , HR: 0.00 
time: 9.2788 , HR: 0.00 
time: 9.3984 , HR: 0.00 
time: 9.5328 , HR: 0.00 
time: 9.8779 , HR: 0.00 
time: 9.9991 , HR: 0.00 
time: 10.1195 , HR: 0.00 
time: 10.2516 , HR: 0.00 
time: 10.4787 , HR: 0.00 
time: 10.5998 , HR: 0.00 
time: 10.7179 , HR: 0.00 
time: 10.8394 , HR: 0.00 
time: 11.0852 , HR: 0.00 
time: 12.1581 , HR: 0.00 
time: 12.5175 , HR: 0.00 
time: 12.6374 , HR: 0.00 
time: 13.4806 , HR: 0.00 
time: 13.6117 , HR: 0.00 
time: 13.7188 , HR: 0.00 
time: 13.8371 , HR: 0.00 
time: 13.9748 , HR: 0.00 
time: 14.0790 , HR: 0.00 
time: 14.3181 , HR: 0.00 
time: 14.4374 , HR: 0.00 
time: 14.5574 , HR: 0.00 
time: 14.6784 , HR: 0.00 
time: 14.7967 , HR: 0.00 
time: 14.9336 , HR: 0.00 
time: 15.0467 , HR: 0.00 
time: 15.1710 , HR: 0.00 
time: 15.2781 , HR: 0.00 
time: 15.4033 , HR: 0.00 
time: 15.5264 , HR: 0.00 
time: 15.7583 , HR: 0.00 
time: 15.8819 , HR: 0.00 
time: 16.2380 , HR: 0.00 
time: 16.3591 , HR: 0.00 
time: 16.4780 , HR: 0.00 
time: 16.6031 , HR: 0.00 
time: 16.8411 , HR: 0.00 
time: 16.9611 , HR: 0.00 
time: 17.0817 , HR: 0.00 
time: 17.1997 , HR: 0.00 
time: 17.4386 , HR: 0.00 
time: 17.5610 , HR: 0.00 
time: 17.6777 , HR: 0.00 
time: 17.8005 , HR: 0.00 
time: 17.9195 , HR: 0.00 
time: 18.0401 , HR: 0.00 
time: 18.1599 , HR: 0.00 
time: 18.2793 , HR: 0.00 
time: 18.4009 , HR: 0.00 
time: 18.5200 , HR: 0.00 
time: 18.6376 , HR: 0.00 
time: 18.7743 , HR: 0.00 
time: 18.8793 , HR: 0.00 
time: 19.0026 , HR: 55.35 
time: 19.1173 , HR: 62.58 
time: 19.2393 , HR: 62.32 
time: 19.3588 , HR: 54.73 
time: 19.4827 , HR: 54.45 
time: 19.5956 , HR: 54.36 
time: 19.7188 , HR: 54.35 
time: 19.8343 , HR: 63.01 
time: 19.9566 , HR: 62.99 
time: 20.0744 , HR: 63.01 
time: 20.2005 , HR: 63.04 
time: 20.3410 , HR: 51.92 
time: 20.4446 , HR: 51.98 
time: 20.5682 , HR: 51.97 
time: 20.6981 , HR: 51.94 
time: 20.7936 , HR: 52.02 
time: 20.9183 , HR: 52.00 
time: 21.0369 , HR: 52.05 
time: 21.1610 , HR: 52.02 
time: 21.2734 , HR: 52.05 
time: 21.3976 , HR: 52.04 
time: 21.5135 , HR: 52.05 
time: 21.6403 , HR: 52.07 
time: 21.7536 , HR: 52.03 
time: 21.8795 , HR: 52.00 
time: 21.9932 , HR: 52.03 
time: 22.1429 , HR: 51.91 
time: 22.2333 , HR: 52.02 
time: 22.3866 , HR: 51.90 
time: 22.4768 , HR: 52.01 
time: 22.5964 , HR: 52.01 
time: 22.7173 , HR: 52.00 
time: 22.8606 , HR: 51.93 
time: 22.9551 , HR: 52.06 
time: 23.0784 , HR: 52.05 
time: 23.1976 , HR: 52.01 
time: 23.3192 , HR: 52.00 
time: 23.4348 , HR: 52.01 
time: 23.5587 , HR: 52.07 
time: 23.6765 , HR: 52.01 
time: 23.8059 , HR: 51.97 
time: 23.9165 , HR: 52.01 
time: 24.0370 , HR: 52.01 
time: 24.1725 , HR: 51.95 
time: 24.2832 , HR: 51.98 
time: 24.3932 , HR: 52.02 
time: 24.5199 , HR: 52.04 
time: 24.6335 , HR: 52.86 
time: 24.7621 , HR: 52.83 
